id_demand_elec_generated,time_stamp,rto_id,rto_full_name,demand_mwh,mwh_ng,mwh_nuc,mwh_wnd,mwh_sun,mwh_col,mwh_wat,mwh_oil,mwh_oth
DFCISO20230103-06AGG,2023-01-03 06:00:00,CISO,California Independent System Operator,26872,11840,2251,2896,-17,2,2568,88,27
DFCISO20230103-07AGG,2023-01-03 07:00:00,CISO,California Independent System Operator,26019,11520,2252,2597,-17,3,1810,88,-73
DFCISO20230103-08AGG,2023-01-03 08:00:00,CISO,California Independent System Operator,24535,11509,2252,2220,-17,4,1419,88,-39
DFCISO20230103-09AGG,2023-01-03 09:00:00,CISO,California Independent System Operator,23243,11514,2252,2321,-18,4,1263,88,-241
DFCISO20230103-10AGG,2023-01-03 10:00:00,CISO,California Independent System Operator,22414,11684,2251,2276,-17,4,1202,88,-622
DFCISO20230103-11AGG,2023-01-03 11:00:00,CISO,California Independent System Operator,21928,11920,2252,2356,-17,4,1176,88,-962
DFCISO20230103-12AGG,2023-01-03 12:00:00,CISO,California Independent System Operator,21828,12000,2253,2202,-18,4,1173,88,-893
DFCISO20230103-13AGG,2023-01-03 13:00:00,CISO,California Independent System Operator,21641,11648,2252,2059,-19,4,1167,88,-340
DFCISO20230103-14AGG,2023-01-03 14:00:00,CISO,California Independent System Operator,21683,11977,2252,2119,-18,4,1336,88,-140
DFCISO20230103-15AGG,2023-01-03 15:00:00,CISO,California Independent System Operator,22990,12188,2253,1909,-6,4,1682,88,894
DFCISO20230103-16AGG,2023-01-03 16:00:00,CISO,California Independent System Operator,24875,12374,2253,1674,1676,3,1742,88,776
DFCISO20230103-17AGG,2023-01-03 17:00:00,CISO,California Independent System Operator,26168,11835,2251,1433,6556,3,1858,88,-845
DFCISO20230103-18AGG,2023-01-03 18:00:00,CISO,California Independent System Operator,26992,11445,2250,1416,8408,3,1707,88,-1365
DFCISO20230103-19AGG,2023-01-03 19:00:00,CISO,California Independent System Operator,26883,11490,2250,1331,8820,3,1617,86,-1734
DFCISO20230103-20AGG,2023-01-03 20:00:00,CISO,California Independent System Operator,26827,11013,2249,1040,8499,4,1430,84,-1487
DFCISO20230103-21AGG,2023-01-03 21:00:00,CISO,California Independent System Operator,26337,11080,2247,1036,8587,4,1452,86,-1288
DFCISO20230103-22AGG,2023-01-03 22:00:00,CISO,California Independent System Operator,26407,10703,2246,1099,7575,4,1386,85,-782
DFCISO20230103-23AGG,2023-01-03 23:00:00,CISO,California Independent System Operator,26301,10525,2247,1241,5732,3,1476,85,56
DFCISO20230104-00AGG,2023-01-04 00:00:00,CISO,California Independent System Operator,26099,11947,2247,1057,2017,4,1818,85,899
DFCISO20230104-01AGG,2023-01-04 01:00:00,CISO,California Independent System Operator,26638,13223,2246,882,218,4,2360,86,1426
DFCISO20230104-02AGG,2023-01-04 02:00:00,CISO,California Independent System Operator,27617,13870,2247,747,-33,3,2938,81,2048
DFCISO20230104-03AGG,2023-01-04 03:00:00,CISO,California Independent System Operator,29102,13678,2249,757,-31,3,2959,83,1917
DFCISO20230104-04AGG,2023-01-04 04:00:00,CISO,California Independent System Operator,28764,13375,2251,692,-33,4,2700,84,1457
DFCISO20230104-05AGG,2023-01-04 05:00:00,CISO,California Independent System Operator,28294,12488,2249,673,-34,3,2866,83,1383
DFCISO20230104-06AGG,2023-01-04 06:00:00,CISO,California Independent System Operator,27589,12372,2249,851,-34,3,2697,83,1080
DFCISO20230104-07AGG,2023-01-04 07:00:00,CISO,California Independent System Operator,26630,12366,2249,826,-34,3,2256,82,458
DFCISO20230104-08AGG,2023-01-04 08:00:00,CISO,California Independent System Operator,25085,12459,2251,891,-34,3,1404,82,-126
DFCISO20230104-09AGG,2023-01-04 09:00:00,CISO,California Independent System Operator,23884,12133,2249,941,-34,3,1261,85,-323
DFCISO20230104-10AGG,2023-01-04 10:00:00,CISO,California Independent System Operator,23211,11848,2246,1092,-34,4,1248,85,-764
DFCISO20230104-11AGG,2023-01-04 11:00:00,CISO,California Independent System Operator,22651,11619,2249,1234,-34,4,1196,84,-954
DFCISO20230104-12AGG,2023-01-04 12:00:00,CISO,California Independent System Operator,22159,11396,2252,1033,-34,4,1260,85,-824
DFCISO20230104-13AGG,2023-01-04 13:00:00,CISO,California Independent System Operator,21837,11535,2251,953,-35,4,1320,85,-591
DFCISO20230104-14AGG,2023-01-04 14:00:00,CISO,California Independent System Operator,22127,11549,2250,853,-35,4,2054,85,-162
DFCISO20230104-15AGG,2023-01-04 15:00:00,CISO,California Independent System Operator,22685,11997,2249,713,-30,4,2503,85,275
DFCISO20230104-16AGG,2023-01-04 16:00:00,CISO,California Independent System Operator,24344,12035,2250,853,337,4,2400,85,571
DFCISO20230104-17AGG,2023-01-04 17:00:00,CISO,California Independent System Operator,25546,12562,2251,1268,1635,4,2421,85,-400
DFCISO20230104-18AGG,2023-01-04 18:00:00,CISO,California Independent System Operator,26359,11542,2249,1328,3399,4,2165,85,-647
DFCISO20230104-19AGG,2023-01-04 19:00:00,CISO,California Independent System Operator,26236,11437,2247,1442,4771,3,2110,85,-1172
DFCISO20230104-20AGG,2023-01-04 20:00:00,CISO,California Independent System Operator,26413,11302,2249,1502,4874,3,1909,85,-1193
DFCISO20230104-21AGG,2023-01-04 21:00:00,CISO,California Independent System Operator,26235,11636,2248,1469,4299,4,1615,85,-916
DFCISO20230104-22AGG,2023-01-04 22:00:00,CISO,California Independent System Operator,26001,11400,2245,1490,4715,3,1599,85,-1030
DFCISO20230104-23AGG,2023-01-04 23:00:00,CISO,California Independent System Operator,25879,11036,2245,1571,4147,3,1606,86,-1041
DFCISO20230105-00AGG,2023-01-05 00:00:00,CISO,California Independent System Operator,25564,10951,2246,1762,2839,2,2152,82,-278
DFCISO20230105-01AGG,2023-01-05 01:00:00,CISO,California Independent System Operator,25674,11317,2246,1842,415,3,3003,82,750
DFCISO20230105-02AGG,2023-01-05 02:00:00,CISO,California Independent System Operator,26690,12312,2246,1653,-25,3,2846,80,1513
DFCISO20230105-03AGG,2023-01-05 03:00:00,CISO,California Independent System Operator,28147,12348,2245,1088,-26,3,2545,79,1815
DFCISO20230105-04AGG,2023-01-05 04:00:00,CISO,California Independent System Operator,28017,12171,2245,1515,-29,3,2514,82,1362
DFCISO20230105-05AGG,2023-01-05 05:00:00,CISO,California Independent System Operator,27209,12141,2245,1655,-30,2,2194,83,463
DFCISO20230105-06AGG,2023-01-05 06:00:00,CISO,California Independent System Operator,26516,11832,2246,1550,-30,3,2122,84,117
DFCISO20230105-07AGG,2023-01-05 07:00:00,CISO,California Independent System Operator,25527,11131,2246,2018,-31,3,1885,85,-211
DFCISO20230105-08AGG,2023-01-05 08:00:00,CISO,California Independent System Operator,24112,10656,2244,2011,-30,4,1481,81,-444
DFCISO20230105-09AGG,2023-01-05 09:00:00,CISO,California Independent System Operator,23450,11281,2075,2143,-31,4,1342,48,-562
DFCISO20230105-10AGG,2023-01-05 10:00:00,CISO,California Independent System Operator,22655,11418,1756,1982,-30,4,1318,47,-1056
DFCISO20230105-11AGG,2023-01-05 11:00:00,CISO,California Independent System Operator,22219,11816,1432,1385,-31,4,1256,42,-1163
DFCISO20230105-12AGG,2023-01-05 12:00:00,CISO,California Independent System Operator,21701,11294,1106,1528,-31,4,1357,44,-781
DFCISO20230105-13AGG,2023-01-05 13:00:00,CISO,California Independent System Operator,21073,11803,791,1598,-32,5,1252,51,-366
DFCISO20230105-14AGG,2023-01-05 14:00:00,CISO,California Independent System Operator,20951,12503,472,1328,-33,5,1418,78,267
DFCISO20230105-15AGG,2023-01-05 15:00:00,CISO,California Independent System Operator,21804,13381,309,1470,-31,4,2098,84,960
DFCISO20230105-16AGG,2023-01-05 16:00:00,CISO,California Independent System Operator,23725,13663,300,1610,580,4,2118,84,443
DFCISO20230105-17AGG,2023-01-05 17:00:00,CISO,California Independent System Operator,25103,13773,298,1171,2058,3,1966,84,199
DFCISO20230105-18AGG,2023-01-05 18:00:00,CISO,California Independent System Operator,25942,14098,293,1151,3219,3,1732,83,127
DFCISO20230105-19AGG,2023-01-05 19:00:00,CISO,California Independent System Operator,26402,14462,291,1160,5135,4,1634,84,-692
DFCISO20230105-20AGG,2023-01-05 20:00:00,CISO,California Independent System Operator,27238,14253,290,1315,5890,3,1433,84,-785
DFCISO20230105-21AGG,2023-01-05 21:00:00,CISO,California Independent System Operator,27090,14912,287,2089,4928,2,1347,82,-1056
DFCISO20230105-22AGG,2023-01-05 22:00:00,CISO,California Independent System Operator,27185,14109,286,2252,5255,2,1481,79,-963
DFCISO20230105-23AGG,2023-01-05 23:00:00,CISO,California Independent System Operator,26226,13653,302,2402,4882,3,1559,80,-509
DFCISO20230106-00AGG,2023-01-06 00:00:00,CISO,California Independent System Operator,25477,12952,501,2520,3483,3,2275,81,-151
DFCISO20230106-01AGG,2023-01-06 01:00:00,CISO,California Independent System Operator,25253,12815,789,2585,698,3,2789,83,640
DFCISO20230106-02AGG,2023-01-06 02:00:00,CISO,California Independent System Operator,25931,12837,838,3384,-28,3,3035,81,1062
DFCISO20230106-03AGG,2023-01-06 03:00:00,CISO,California Independent System Operator,27614,12867,836,3470,-35,2,3144,78,887
DFCISO20230106-04AGG,2023-01-06 04:00:00,CISO,California Independent System Operator,27834,12732,837,3355,-36,2,3175,78,726
DFCISO20230106-05AGG,2023-01-06 05:00:00,CISO,California Independent System Operator,27301,12998,837,3200,-36,2,2884,81,429
DFCISO20230106-06AGG,2023-01-06 06:00:00,CISO,California Independent System Operator,26638,13035,873,3397,-35,2,2932,81,295
DFCISO20230106-07AGG,2023-01-06 07:00:00,CISO,California Independent System Operator,25800,11934,910,3357,-35,2,2824,79,-132
DFCISO20230106-08AGG,2023-01-06 08:00:00,CISO,California Independent System Operator,24429,10441,895,3156,-36,3,2750,81,-105
DFCISO20230106-09AGG,2023-01-06 09:00:00,CISO,California Independent System Operator,23001,11453,881,2795,-36,3,1920,84,-330
DFCISO20230106-10AGG,2023-01-06 10:00:00,CISO,California Independent System Operator,22409,11437,864,2438,-36,3,1700,83,-334
DFCISO20230106-11AGG,2023-01-06 11:00:00,CISO,California Independent System Operator,21903,11994,854,2179,-36,3,1454,83,-585
DFCISO20230106-12AGG,2023-01-06 12:00:00,CISO,California Independent System Operator,21858,11911,854,1790,-36,4,1400,83,-309
DFCISO20230106-13AGG,2023-01-06 13:00:00,CISO,California Independent System Operator,21645,11683,854,1468,-36,3,1489,82,362
DFCISO20230106-14AGG,2023-01-06 14:00:00,CISO,California Independent System Operator,21769,11833,855,1327,-37,3,1921,82,1221
DFCISO20230106-15AGG,2023-01-06 15:00:00,CISO,California Independent System Operator,22902,11275,856,1532,-28,3,2668,82,1620
DFCISO20230106-16AGG,2023-01-06 16:00:00,CISO,California Independent System Operator,24434,11320,858,1497,1066,3,2646,82,1517
DFCISO20230106-17AGG,2023-01-06 17:00:00,CISO,California Independent System Operator,25719,10382,855,901,5729,2,2220,82,216
DFCISO20230106-18AGG,2023-01-06 18:00:00,CISO,California Independent System Operator,25628,8949,855,643,8417,2,2137,82,-637
DFCISO20230106-19AGG,2023-01-06 19:00:00,CISO,California Independent System Operator,24787,8630,852,674,8757,3,2067,82,-885
DFCISO20230106-20AGG,2023-01-06 20:00:00,CISO,California Independent System Operator,23766,9115,853,706,8606,2,1959,81,-1642
DFCISO20230106-21AGG,2023-01-06 21:00:00,CISO,California Independent System Operator,23248,8864,852,571,9005,3,1836,82,-1456
DFCISO20230106-22AGG,2023-01-06 22:00:00,CISO,California Independent System Operator,22598,8894,852,628,9204,2,1420,82,-961
DFCISO20230106-23AGG,2023-01-06 23:00:00,CISO,California Independent System Operator,22741,9099,852,521,9050,3,1768,83,-732
DFCISO20230107-00AGG,2023-01-07 00:00:00,CISO,California Independent System Operator,23297,9488,889,662,5680,3,2394,82,394
DFCISO20230107-01AGG,2023-01-07 01:00:00,CISO,California Independent System Operator,23581,11274,966,666,856,2,2888,82,1372
DFCISO20230107-02AGG,2023-01-07 02:00:00,CISO,California Independent System Operator,25216,12619,1104,709,-36,2,3064,83,1737
DFCISO20230107-03AGG,2023-01-07 03:00:00,CISO,California Independent System Operator,27226,12467,1256,811,-48,2,3295,83,1588
DFCISO20230107-04AGG,2023-01-07 04:00:00,CISO,California Independent System Operator,27141,12365,1400,841,-48,3,3208,83,1283
DFCISO20230107-05AGG,2023-01-07 05:00:00,CISO,California Independent System Operator,26705,11897,1486,837,-51,3,3238,83,836
DFCISO20230107-06AGG,2023-01-07 06:00:00,CISO,California Independent System Operator,26243,11846,1504,787,-51,3,3133,82,436
DFCISO20230107-07AGG,2023-01-07 07:00:00,CISO,California Independent System Operator,25581,12017,1501,884,-52,3,2896,82,143
DFCISO20230107-08AGG,2023-01-07 08:00:00,CISO,California Independent System Operator,24342,11547,1499,880,-51,3,2587,83,-160
DFCISO20230107-09AGG,2023-01-07 09:00:00,CISO,California Independent System Operator,23140,10658,1497,850,-51,3,2140,83,-47
DFCISO20230107-10AGG,2023-01-07 10:00:00,CISO,California Independent System Operator,22150,11000,1558,811,-51,3,1769,84,-165
DFCISO20230107-11AGG,2023-01-07 11:00:00,CISO,California Independent System Operator,21850,10473,1584,807,-51,3,1539,80,-167
DFCISO20230107-12AGG,2023-01-07 12:00:00,CISO,California Independent System Operator,21215,10332,1586,681,-51,3,1681,81,-56
DFCISO20230107-13AGG,2023-01-07 13:00:00,CISO,California Independent System Operator,20855,10690,1584,805,-51,4,1630,81,-104
DFCISO20230107-14AGG,2023-01-07 14:00:00,CISO,California Independent System Operator,20963,10636,1586,847,-51,4,2180,81,-70
DFCISO20230107-15AGG,2023-01-07 15:00:00,CISO,California Independent System Operator,21615,10771,1584,907,-34,3,2224,80,-9
DFCISO20230107-16AGG,2023-01-07 16:00:00,CISO,California Independent System Operator,22414,10422,1599,878,1455,4,2220,84,-21
DFCISO20230107-17AGG,2023-01-07 17:00:00,CISO,California Independent System Operator,22735,9810,1701,990,4533,4,2077,82,-575
DFCISO20230107-18AGG,2023-01-07 18:00:00,CISO,California Independent System Operator,23365,9213,1830,722,5563,3,1795,82,-640
DFCISO20230107-19AGG,2023-01-07 19:00:00,CISO,California Independent System Operator,22958,9574,1958,628,6258,3,1728,82,-1079
DFCISO20230107-20AGG,2023-01-07 20:00:00,CISO,California Independent System Operator,22809,9329,2091,602,6448,3,1356,83,-1100
DFCISO20230107-21AGG,2023-01-07 21:00:00,CISO,California Independent System Operator,22013,9530,2204,677,6444,2,1390,83,-1429
DFCISO20230107-22AGG,2023-01-07 22:00:00,CISO,California Independent System Operator,21896,9165,2216,600,6110,3,1397,83,-808
DFCISO20230107-23AGG,2023-01-07 23:00:00,CISO,California Independent System Operator,21764,9249,2223,600,4700,3,1551,84,-419
DFCISO20230108-00AGG,2023-01-08 00:00:00,CISO,California Independent System Operator,22131,9592,2233,726,3166,3,2353,84,-2
DFCISO20230108-01AGG,2023-01-08 01:00:00,CISO,California Independent System Operator,22930,10436,2233,728,369,4,3060,84,847
DFCISO20230108-02AGG,2023-01-08 02:00:00,CISO,California Independent System Operator,24079,11034,2230,779,-54,3,3265,83,1387
DFCISO20230108-03AGG,2023-01-08 03:00:00,CISO,California Independent System Operator,25792,10592,2212,1098,-49,3,3447,82,1323
DFCISO20230108-04AGG,2023-01-08 04:00:00,CISO,California Independent System Operator,25704,10453,2217,1308,-49,3,3264,84,1013
DFCISO20230108-05AGG,2023-01-08 05:00:00,CISO,California Independent System Operator,25348,10628,2223,1315,-49,3,3037,84,442
DFCISO20230108-06AGG,2023-01-08 06:00:00,CISO,California Independent System Operator,24889,10439,2222,1341,-49,3,2743,84,344
DFCISO20230108-07AGG,2023-01-08 07:00:00,CISO,California Independent System Operator,24303,10776,2225,1384,-49,3,1987,81,237
DFCISO20230108-08AGG,2023-01-08 08:00:00,CISO,California Independent System Operator,23633,10075,2224,1430,-49,3,1866,81,8
DFCISO20230108-09AGG,2023-01-08 09:00:00,CISO,California Independent System Operator,22588,10151,2236,1482,-49,3,1702,82,60
DFCISO20230108-10AGG,2023-01-08 10:00:00,CISO,California Independent System Operator,21750,8640,2241,1519,-49,3,1753,83,-16
DFCISO20230108-11AGG,2023-01-08 11:00:00,CISO,California Independent System Operator,20841,7876,2248,1377,-49,3,1688,83,-149
DFCISO20230108-12AGG,2023-01-08 12:00:00,CISO,California Independent System Operator,20439,7512,2245,1292,-49,3,1761,82,-187
DFCISO20230108-13AGG,2023-01-08 13:00:00,CISO,California Independent System Operator,19978,7398,2247,1056,-50,3,1823,80,-11
DFCISO20230108-14AGG,2023-01-08 14:00:00,CISO,California Independent System Operator,19891,7373,2251,1223,-50,3,2004,64,124
DFCISO20230108-15AGG,2023-01-08 15:00:00,CISO,California Independent System Operator,20303,7556,2248,1075,-36,3,2210,37,184
DFCISO20230108-16AGG,2023-01-08 16:00:00,CISO,California Independent System Operator,20886,7639,2248,1008,1140,3,2225,37,241
DFCISO20230108-17AGG,2023-01-08 17:00:00,CISO,California Independent System Operator,21408,6800,2252,979,3401,3,1960,38,-117
DFCISO20230108-18AGG,2023-01-08 18:00:00,CISO,California Independent System Operator,21443,5776,2252,738,5900,3,1700,39,-588
DFCISO20230108-19AGG,2023-01-08 19:00:00,CISO,California Independent System Operator,20838,6181,2251,784,7147,3,1658,39,-1121
DFCISO20230108-20AGG,2023-01-08 20:00:00,CISO,California Independent System Operator,20406,6574,2252,966,7684,3,1601,39,-1582
DFCISO20230108-21AGG,2023-01-08 21:00:00,CISO,California Independent System Operator,20128,6187,2252,1102,7760,3,1226,39,-926
DFCISO20230108-22AGG,2023-01-08 22:00:00,CISO,California Independent System Operator,20137,6155,2250,1205,7191,3,1232,39,-672
DFCISO20230108-23AGG,2023-01-08 23:00:00,CISO,California Independent System Operator,20606,6142,2250,1150,6262,4,1408,40,-238
DFCISO20230109-00AGG,2023-01-09 00:00:00,CISO,California Independent System Operator,21262,6711,2250,1139,3606,4,2089,40,446
DFCISO20230109-01AGG,2023-01-09 01:00:00,CISO,California Independent System Operator,22023,9108,2250,1045,473,4,2766,40,1308
DFCISO20230109-02AGG,2023-01-09 02:00:00,CISO,California Independent System Operator,23346,9950,2251,1022,-44,3,3356,40,1886
DFCISO20230109-03AGG,2023-01-09 03:00:00,CISO,California Independent System Operator,25549,10264,2252,1061,-40,3,3509,40,1358
DFCISO20230109-04AGG,2023-01-09 04:00:00,CISO,California Independent System Operator,25784,10637,2251,1076,-43,3,3614,41,1017
DFCISO20230109-05AGG,2023-01-09 05:00:00,CISO,California Independent System Operator,25483,10730,2251,1148,-44,3,3359,41,296
DFCISO20230109-06AGG,2023-01-09 06:00:00,CISO,California Independent System Operator,24865,10404,2253,1289,-44,3,3070,40,84
DFCISO20230109-07AGG,2023-01-09 07:00:00,CISO,California Independent System Operator,23825,9495,2255,1418,-45,3,2973,38,-68
DFCISO20230109-08AGG,2023-01-09 08:00:00,CISO,California Independent System Operator,22573,8468,2256,1658,-44,3,2920,40,-79
DFCISO20230109-09AGG,2023-01-09 09:00:00,CISO,California Independent System Operator,21183,8569,2256,2026,-45,3,2074,41,-214
DFCISO20230109-10AGG,2023-01-09 10:00:00,CISO,California Independent System Operator,20897,8772,2256,2118,-44,3,1813,41,-465
DFCISO20230109-11AGG,2023-01-09 11:00:00,CISO,California Independent System Operator,20758,9480,2255,1812,-44,3,1729,40,-926
DFCISO20230109-12AGG,2023-01-09 12:00:00,CISO,California Independent System Operator,20933,9430,2254,2031,-44,3,1711,37,-1056
DFCISO20230109-13AGG,2023-01-09 13:00:00,CISO,California Independent System Operator,20974,9520,2254,2298,-45,4,1716,42,-727
DFCISO20230109-14AGG,2023-01-09 14:00:00,CISO,California Independent System Operator,21132,9890,2254,2290,-45,3,1821,58,220
DFCISO20230109-15AGG,2023-01-09 15:00:00,CISO,California Independent System Operator,21885,11403,2254,2373,-26,3,1941,67,900
DFCISO20230109-16AGG,2023-01-09 16:00:00,CISO,California Independent System Operator,23885,11925,2253,2069,465,4,1978,72,1160
DFCISO20230109-17AGG,2023-01-09 17:00:00,CISO,California Independent System Operator,25814,12182,2254,2013,1238,3,2230,74,461
DFCISO20230109-18AGG,2023-01-09 18:00:00,CISO,California Independent System Operator,26183,12083,2255,1946,1931,3,2487,77,-173
DFCISO20230109-19AGG,2023-01-09 19:00:00,CISO,California Independent System Operator,26593,12030,2254,1888,2653,3,2558,77,-477
DFCISO20230109-20AGG,2023-01-09 20:00:00,CISO,California Independent System Operator,26531,12360,2254,1954,3531,3,2502,78,-1228
DFCISO20230109-21AGG,2023-01-09 21:00:00,CISO,California Independent System Operator,26928,11550,2254,1902,3311,4,2467,78,-377
